Duty Card No,Route Name,Trip Type,Pick Up Time,Drop Off Time,Shift Time
A032,GE27,IN,04:30,04:45,05:00
A032,DWC10,IN,05:00,06:40,07:00
A032,DWC10,OUT,07:10,09:00,07:00
A032,GE33,IN,09:35,10:15,11:00
A033,DWC50,IN,05:08,06:40,07:00
A033,DWC50,OUT,07:30,09:00,07:00
A033,GD23,IN,10:51,11:20,12:00
A033,GD13,OUT,12:20,12:45,12:00
A034,DWC30,IN,05:22,06:40,07:00
A034,DWC30,OUT,07:15,09:00,07:00
A034,GD19,OUT,10:40,11:32,10:00
A034,GD30,OUT,12:20,13:00,12:00
A035,DWC22,IN,05:27,06:40,07:00
A035,DWC22,OUT,07:30,09:00,07:00
A035,GD07,OUT,10:40,11:20,10:00
A036,GD01,IN,04:25,05:20,06:00
A036,GD07,IN,05:44,06:20,07:00
A036,GD06,OUT,06:40,07:15,06:00
A036,DWC31a,OUT,08:10,08:50,08:00
A036,GE98,IN,10:21,11:40,12:00
A037,GD05,OUT,04:40,05:14,04:00
A037,GE95B,IN,05:32,06:45,07:00
A037,GD18,IN,07:20,08:20,09:00
A037,GD19,OUT,09:40,10:42,09:00
A037,GD23,IN,10:35,11:20,12:00
A037,GD09,OUT,11:40,12:20,11:00
A038,GD08,IN,04:05,04:20,05:00
A038,GD23,OUT,04:40,05:35,04:00
A038,GE11,IN,05:50,06:30,07:00
A038,GE10A,IN,07:39,08:45,09:00
A038,BB-DLM,IN,08:40,08:55,09:00
A038,GE55,OUT,09:15,09:35,09:00
A038,GE95A,IN,10:26,11:40,12:00
A039,GD12,IN,04:48,05:20,06:00
A039,GD08,OUT,05:40,06:27,05:00
A039,GE08,IN,05:50,06:28,07:00
A039,CC,IN,06:45,07:15,08:00
A039,GE37,IN,08:10,08:50,09:00
A039,GD07,OUT,09:40,10:15,09:00
A039,GD12,OUT,10:40,11:20,10:00
A040,EEMC10,IN,04:22,05:50,06:00
A040,CC,IN,06:15,07:00,08:00
A040,CC,IN,07:00,08:00,09:00
A040,GE95A,IN,08:20,09:50,10:00
A040,CC,IN,10:00,11:00,12:00
A040,GD23,OUT,11:40,12:30,11:00
A041,GD09,IN,03:56,04:20,05:00
A041,GK01B,IN,04:46,05:45,06:00
A041,GE49,IN,06:00,07:00,08:00
A041,GE98,IN,08:16,09:40,10:00
A041,CC,IN,10:15,11:00,12:00
A041,EK06/DM,IN,11:30,12:10,12:30
A042,GK04,IN,05:00,05:45,06:00
A042,GE06,IN,06:00,06:38,07:00
A042,GD12,OUT,07:40,08:18,07:00
A042,GE07,IN,08:30,08:45,09:00
A042,EGHQ-EGTC,IN,10:10,10:20,11:00
A042,EGTC-EGHQ,OUT,10:30,10:45,10:00
A042,CC,IN,12:00,13:00,14:00
A044,GK01,IN,05:52,06:45,07:00
A045,GK02,IN,06:00,06:45,07:00
A046,GE99B,IN,04:04,04:40,05:00
A046,GE99B,OUT,05:40,06:00,05:00
A046,GE09,IN,06:04,06:35,07:00
A046,GD22,IN,07:06,08:20,09:00
A046,GD12,OUT,09:40,10:20,09:00
A046,GE99C,IN,10:58,11:40,12:00
AB047,GD10,IN,04:35,05:20,06:00
AB047,GE27,IN,05:30,05:45,06:00
AB047,GK04,OUT,06:20,07:20,06:00
AB047,GE95A,IN,15:20,16:40,17:00
AB047,GE93,OUT,17:40,18:20,17:00
AB048,EEMC22,IN,04:38,05:50,06:00
AB048,GE99C,IN,06:08,06:50,07:00
AB048,GD22,IN,12:36,13:20,14:00
AB048,GE95A,IN,13:28,14:40,15:00
AB048,GE99A,OUT,15:40,16:20,15:00
AB048,GD12,IN,16:30,17:20,18:00
AB049,DWC31a,IN,05:09,05:55,06:00
AB049,GK06,IN,06:15,06:45,07:00
AB049,GD23,OUT,12:40,13:20,12:00
AB049,GK03,OUT,14:20,15:00,14:00
AB049,GK01,OUT,15:45,16:49,15:00
AB050,GK02B,IN,05:12,05:45,06:00
AB050,GE16A,IN,05:55,06:50,07:00
AB050,GD24,OUT,12:40,13:20,12:00
AB050,MOE SARAB,IN,15:00,15:45,16:00
AB050,GE99A,IN,16:04,16:40,17:00
AB051,GK06,IN,05:10,05:45,06:00
AB051,GK04,IN,06:19,06:45,07:00
AB051,GD04,IN,15:35,16:20,17:00
AB051,GK02A,IN,16:45,17:45,18:00
AB051,GK01A,OUT,18:25,19:10,18:00
AB051,GD19A,IN,19:17,20:20,21:00
AB052,GE98,IN,05:47,06:40,07:00
AB052,CC,IN,06:45,07:15,08:00
AB052,GE23,OUT,15:38,16:12,15:00
AB052,GD19A,IN,17:17,18:20,19:00
AB052,GD04,OUT,18:40,19:15,18:00
AB053,GD18,IN,05:35,06:20,07:00
AB053,GD12,OUT,06:40,07:18,06:00
AB053,GE99C,IN,13:58,14:40,15:00
AB053,GE20,OUT,15:38,16:30,15:00
AB053,GD09,OUT,17:40,18:20,17:00
AB054,GD07,OUT,05:40,06:20,05:00
AB054,GD07,OUT,06:40,07:20,06:00
AB054,GD12,IN,15:38,16:20,17:00
AB054,GE13,OUT,17:20,18:10,17:00
AB055,GD05,OUT,05:40,06:14,05:00
AB055,GK01,OUT,06:20,06:51,06:00
AB055,GE50,OUT,15:40,16:40,15:00
AB055,GD07,IN,17:30,18:20,19:00
AB055,GD01,OUT,18:40,19:27,18:00
AB056,GE27,OUT,05:15,05:30,05:00
AB056,GD06,OUT,05:40,06:10,05:00
AB056,GD30,OUT,06:20,07:00,06:00
AB056,GD11,IN,15:35,16:20,17:00
AB056,GE27,IN,16:30,16:45,17:00
AB056,GE88A,OUT,17:40,18:35,17:00
AB057,GE99A,OUT,05:40,06:20,05:00
AB057,GE99A,IN,06:14,06:50,07:00
AB057,GE99C,OUT,13:40,14:20,13:00
AB057,GE25,OUT,15:40,16:31,15:00
AB057,GE38,OUT,16:40,17:30,17:00
AB057,GD13,OUT,18:15,18:45,18:00
AB058,GD04,OUT,05:40,06:10,05:00
AB058,GE27,OUT,06:15,06:30,06:00
AB058,GD04,OUT,06:40,07:15,06:00
AB058,GK03,OUT,15:45,16:35,15:00
AB058,DWC11a,IN,17:00,17:22,18:00
AB058,GD04,OUT,17:40,18:15,17:00
AB059,GK05,IN,05:16,05:45,06:00
AB059,GK06,OUT,06:20,06:55,06:00
AB059,GK04,OUT,15:45,16:31,15:00
AB059,GD10,IN,16:57,17:20,18:00
AB059,GD12,OUT,17:40,18:18,17:00
AB059,GD13,IN,19:05,19:45,20:00
AB060,GD01,OUT,05:40,06:27,05:00
AB060,EGHQ-EGTC,IN,13:40,14:00,15:00
AB060,GE14A,OUT,15:50,16:33,15:00
AB060,GD09,IN,16:46,17:20,18:00
AB060,GD05,OUT,17:40,18:15,17:00
AB060,GD09,OUT,18:40,19:15,18:00
AB061,GE95A,OUT,05:40,06:40,05:00
AB061,EEMC23A,IN,12:22,13:50,14:00
AB061,EEMC23A,OUT,14:40,15:50,14:00
AB061,GD09,IN,15:56,16:20,17:00
AB061,GD23,OUT,16:40,17:35,17:00
AB062,GE98,OUT,05:40,06:50,05:00
AB062,GE18,OUT,15:50,16:20,15:00
AB062,GD11A,IN,16:10,17:20,18:00
AB062,GD11,OUT,17:40,18:27,17:00
AB062,GD19,OUT,19:40,20:32,19:00
AB063,GD19,OUT,05:40,06:32,05:00
AB063,BB-DLM,IN,07:05,07:15,08:00
AB063,BB-DLM,IN,07:50,08:00,09:00
AB063,BB-DLM,IN,15:50,16:00,17:00
AB063,DLM-BB,OUT,16:10,16:20,17:00
AB063,DLM-BB,OUT,16:30,16:40,17:00
AB063,GK01A,IN,16:40,17:45,18:00
AB063,GK01B,OUT,18:25,19:06,18:00
AB064,GD08,OUT,05:40,06:27,05:00
AB064,GE52,IN,06:00,06:46,07:00
AB064,GE99B,IN,14:04,14:40,15:00
AB064,GE99B,IN,16:04,16:40,17:00
AB064,GE19,OUT,17:40,17:58,17:00
AB065,GD19,IN,05:30,06:20,07:00
AB065,GD08,OUT,06:40,07:27,06:00
AB065,GD23,OUT,14:40,15:30,14:00
AB065,GD01,IN,16:22,17:20,18:00
AB065,GD07,OUT,18:40,19:20,18:00
AB066,GD11,OUT,05:40,06:27,05:00
AB066,GD30,OUT,06:20,06:50,06:00
AB066,EAU001,IN,07:00,07:40,08:00
AB066,GD30,OUT,15:15,16:30,15:00
AB066,EAU001,OUT,15:45,16:10,15:00
AB066,GD30,IN,17:03,17:45,18:00
AB066,GD30,OUT,18:20,19:00,18:00
AB067,GE95A,IN,05:42,06:45,07:00
AB067,CC,IN,07:00,07:30,08:00
AB067,CC,OUT,15:00,15:30,15:00
AB067,GD13,OUT,16:15,16:45,17:00
AB067,GE88,OUT,17:40,18:40,17:00
AB068,GD12,IN,05:48,06:20,07:00
AB068,GE33,IN,06:46,07:45,08:00
AB068,CC,OUT,15:15,15:45,15:00
AB068,GD10,IN,16:20,17:20,18:00
AB068,GD10,OUT,18:40,19:20,18:00
AB069,GD30,IN,05:20,05:45,06:00
AB069,GD18,IN,05:55,06:20,07:00
AB069,GD05,OUT,06:40,07:14,06:00
AB069,GD24,OUT,14:40,15:30,14:00
AB069,GD22,OUT,16:00,16:39,15:00
AB069,GD09,OUT,18:40,19:20,18:00
AB070,GD04,IN,04:50,05:20,06:00
AB070,GD30,IN,05:25,05:45,06:00
AB070,GK02,OUT,06:20,07:06,06:00
AB070,GD05,OUT,16:00,16:31,15:00
AB070,GK03,IN,17:01,17:45,18:00
AB070,GD05,OUT,18:40,19:27,18:00
AB071,GE99C,OUT,05:40,06:20,05:00
AB071,GE99C,IN,12:28,13:10,14:00
AB071,CC,IN,14:00,15:00,16:00
AB071,CC,OUT,15:00,15:30,15:00
AB071,GE99C,IN,15:58,16:40,17:00
AB073,GD09,IN,04:46,05:20,06:00
AB073,GD09,OUT,05:40,06:20,05:00
AB073,GD06,IN,15:40,16:20,17:00
AB073,GD21,IN,17:25,18:20,19:00
AB073,GD06,OUT,18:40,19:10,18:00
B001,GD09,IN,12:46,13:20,14:00
B001,CC,IN,14:30,15:00,16:00
B001,CC,OUT,15:30,16:00,15:00
B001,GD08,IN,16:30,17:20,18:00
B001,GD08,OUT,17:40,18:27,17:00
B001,GD21,IN,19:25,20:20,21:00
B002,CC,OUT,15:15,15:45,15:00
B002,GD09,IN,16:46,17:20,18:00
B002,GD09,OUT,17:40,18:20,17:00
B002,GD09,IN,17:46,18:20,19:00
B002,GD09,OUT,19:40,20:20,19:00
B002,CC,OUT,21:00,21:30,21:00
B003,GD30,OUT,15:15,16:00,15:00
B003,GD30,IN,16:55,17:45,18:00
B003,GK05,OUT,18:25,18:44,18:00
B003,GD09,IN,19:46,20:20,21:00
B003,GD21,IN,20:43,21:20,22:00
B003,GD21,OUT,21:40,22:11,21:00
B004,GD10,IN,15:30,16:20,17:00
B004,GD08,IN,16:49,17:20,18:00
B004,GD05,OUT,17:40,18:15,17:00
B004,GD05,IN,19:30,20:20,21:00
B004,GD05,OUT,21:40,22:15,21:00
B004,GD05,IN,22:27,23:20,00:00
B005,GD08,IN,15:30,16:20,17:00
B005,GD21,OUT,16:40,17:20,17:00
B005,GK03,OUT,18:25,19:10,18:00
B005,GD30,IN,20:55,21:45,22:00
B005,GD30,OUT,22:20,23:00,22:00
B006,GD08,IN,15:49,16:20,17:00
B006,GD05,IN,16:30,17:20,18:00
B006,GD10,OUT,17:40,18:20,17:00
B006,GD30,IN,19:03,19:45,20:00
B006,GD09,IN,20:46,21:20,22:00
B006,GD30,IN,22:05,22:45,23:00
B007,CC,OUT,15:30,16:00,15:00
B007,GD04,IN,16:35,17:20,18:00
B007,GD09,OUT,17:40,18:20,17:00
B007,GD05,OUT,19:40,20:14,19:00
B007,GD21,IN,20:25,21:20,22:00
B007,GD07,OUT,21:40,22:20,21:00
B007,GD09,OUT,22:40,23:20,22:00
B008,GE99B,OUT,15:40,16:30,15:00
B008,GD13,OUT,17:20,17:45,17:00
B008,GD19,IN,19:35,20:20,21:00
B008,GD30,OUT,21:20,22:00,21:00
B008,GD09,IN,22:46,23:20,00:00
B009,GD09,OUT,16:00,16:40,15:00
B009,GK05,IN,16:55,17:45,18:00
B009,GK05A,OUT,18:25,18:53,18:00
B009,GD21,OUT,19:40,20:20,19:00
B009,GD09,OUT,21:40,22:20,21:00
B009,GD24,OUT,22:40,23:35,22:00
B010,CC,OUT,15:45,16:15,15:00
B010,GD30,OUT,17:20,18:00,17:00
B010,GD22,IN,19:36,20:20,21:00
B010,GD13,OUT,21:20,21:45,21:00
B010,GD12,IN,22:48,23:20,00:00
B011,GK05,OUT,15:45,16:18,15:00
B011,GD09,IN,16:46,17:20,18:00
B011,GK02A,OUT,18:25,18:53,18:00
B011,GD22,IN,20:20,21:20,22:00
B011,GD13,OUT,22:15,22:45,22:00
B012,GD09,OUT,00:40,01:20,00:00
B012,GD22,IN,17:26,18:20,19:00
B012,GD05,OUT,18:40,19:14,18:00
B012,GD05,IN,20:30,21:20,22:00
B012,GD22,OUT,21:40,22:39,21:00
B012,GD30,OUT,23:20,00:00,23:00
B013,GD09,IN,15:46,16:20,17:00
B013,GD08,IN,16:49,17:20,18:00
B013,GD08,OUT,17:40,18:27,17:00
B013,GD22,IN,19:06,20:20,21:00
B013,CC,OUT,21:00,21:30,21:00
B013,GD22,IN,22:20,23:20,00:00
B014,GD09,IN,15:46,16:20,17:00
B014,GD09,OUT,16:40,17:20,17:00
B014,GD08,OUT,18:40,19:27,18:00
B014,GD07,IN,19:39,20:20,21:00
B014,GD13,IN,22:15,22:45,23:00
B014,GD13,OUT,23:20,23:45,23:00
B015,GD05,IN,15:30,16:20,17:00
B015,GD09,OUT,17:40,18:20,17:00
B015,GD30,IN,19:12,19:45,20:00
B015,GD07,IN,20:39,21:20,22:00
B015,GD21,IN,22:25,23:20,00:00
B016,GD30,IN,16:04,16:45,17:00
B016,GD21,IN,17:43,18:20,19:00
B016,GD11A,OUT,18:40,19:30,18:00
B016,GE99B,IN,20:04,20:40,21:00
B016,GE98,OUT,20:40,22:00,20:00
B016,GD23,OUT,22:40,23:35,22:00
B017,GD08,IN,15:49,16:20,17:00
B017,GD06,IN,16:40,17:20,18:00
B017,GD09,IN,17:46,18:20,19:00
B017,GD08,OUT,18:40,19:14,18:00
B017,GD21,IN,19:43,20:20,21:00
B017,GD12,OUT,21:40,22:20,21:00
B018,GE14,OUT,15:50,16:20,15:00
B018,GK04,IN,17:04,17:45,18:00
B018,GK05,OUT,18:25,18:50,18:00
B018,GD19,IN,20:35,21:20,22:00
B018,GE99B,OUT,22:10,22:40,22:00
B018,GE99B,OUT,23:40,00:10,23:00
B019,GD09,OUT,14:40,15:20,14:00
B019,GD30,IN,15:50,16:45,17:00
B019,GD05,IN,17:30,18:20,19:00
B019,GD08,OUT,18:40,19:27,18:00
B019,GE99B,OUT,20:40,21:10,20:00
B020,GD13,IN,16:05,16:45,17:00
B020,GD08,OUT,17:40,18:27,17:00
B020,GD09,OUT,18:40,19:20,18:00
B020,GD09,IN,19:46,20:20,21:00
B020,GD13,IN,21:15,21:45,22:00
B020,EEMC23,OUT,22:40,23:20,22:00
B020,CC,OUT,23:30,23:59,23:00
B021,GE99C,OUT,15:40,16:00,15:00
B021,GE99C,OUT,18:40,19:20,18:00
B021,GE99C,IN,19:58,20:40,21:00
B021,GE99C,OUT,20:40,21:20,20:00
B021,GE99C,OUT,22:10,22:50,22:00
B021,GE99C,OUT,23:40,00:20,23:00
B022,GD21,OUT,16:00,16:31,15:00
B022,GD30,OUT,17:20,18:00,17:00
B022,GD09,OUT,18:40,19:20,18:00
B022,GE95A,OUT,20:40,21:20,20:00
B023,IBN SHUT,IN,14:00,14:25,15:00
B023,IBN SHUT,OUT,14:30,15:00,14:00
B023,DWC11,OUT,15:30,17:00,15:00
B023,DWC11,IN,17:22,18:40,19:00
B023,DWC11,OUT,19:30,20:30,19:00
B024,GD12,IN,12:40,13:20,14:00
B024,GE99A,IN,14:04,14:40,15:00
B024,GE98,OUT,15:40,16:40,15:00
B024,GD18,IN,17:05,18:20,19:00
B024,GD12,OUT,18:40,19:18,18:00
B024,GD12,IN,19:30,20:20,21:00
B025,GD09,OUT,12:40,13:20,12:00
B025,CC,OUT,13:45,14:40,13:00
B025,GD13,OUT,15:10,15:40,15:00
B025,GD19,IN,16:00,17:20,18:00
B025,GE27,IN,17:40,17:55,18:00
B025,GE95A,OUT,18:40,19:20,18:00
B026,GD07,IN,15:39,16:20,17:00
B026,GD22,OUT,16:40,17:31,17:00
B026,GE27,OUT,17:45,18:30,17:00
B026,GE95A,IN,19:20,20:40,21:00
B026,GE99A,OUT,22:10,22:45,22:00
B026,GE98,OUT,23:40,00:10,23:00
B027,GK06,OUT,14:20,14:55,14:00
B027,GD01,IN,15:22,16:20,17:00
B027,GE27,IN,17:30,17:45,18:00
B027,GE99A,OUT,18:40,19:30,18:00
B027,GE99A,IN,20:14,20:40,21:00
B027,GE99A,OUT,20:40,21:10,20:00
B028,GE99A,IN,12:34,13:10,14:00
B028,GE98,OUT,13:40,15:00,13:00
B028,GE98,IN,15:16,16:40,17:00
B028,GE93,OUT,17:40,18:30,17:00
B028,GD07,OUT,19:40,20:20,19:00
B029,GD22,OUT,12:40,13:31,12:00
B029,GK04,OUT,14:20,15:06,14:00
B029,GE89,OUT,15:31,16:09,15:00
B029,DWC11a,OUT,16:45,17:00,17:00
B029,GE98,OUT,18:40,20:00,18:00
B030,GD12,OUT,12:40,13:18,12:00
B030,GD19,IN,15:05,16:20,17:00
